Nome,Ano,Km,Local,Preço,Link
FORD FUSION 2.0 Sel 16v Gasolina 4p Automático,2016/2017,92.000 Km,Campinas (SP),R$ 84.990,https://www.webmotors.com.br/comprar/ford/fusion/20-sel-16v-gasolina-4p-automatico/4-portas/2016-2017/58468511
FORD FUSION 2.5 16v Flex 4p Automático,2013/2014,143.000 Km,Rio de Janeiro (RJ),R$ 61.990,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2013-2014/57987530
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2014,75.800 Km,Limeira (SP),R$ 71.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/0-portas/2014/58737893
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2018/2019,47.900 Km,Cuiabá (MT),R$ 144.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2018-2019/58915355
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2014,130.000 Km,Cachoeirinha (RS),R$ 69.990,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2014/45729553
FORD FUSION 3.0 Sel Awd V6 24v Gasolina 4p Automático,2011/2011,103.000 Km,Mogi das Cruzes (SP),R$ 55.000,https://www.webmotors.com.br/comprar/ford/fusion/30-sel-awd-v6-24v-gasolina-4p-automatico/4-portas/2011/58053372
FORD FUSION 2.5 16v Flex 4p Automático,2013/2014,145.000 Km,Campinas (SP),R$ 65.000,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2013-2014/57231626
FORD FUSION 2.5 16v Flex 4p Automático,2013/2013,108.837 Km,Porto Alegre (RS),R$ 62.900,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2013/57373338
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2015,146.000 Km,Três Lagoas (MS),R$ 70.000,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2014-2015/58037003
FORD FUSION 2.5 Sel 16v Gasolina 4p Automático,2010/2010,185.000 Km,São Paulo (SP),R$ 39.900,https://www.webmotors.com.br/comprar/ford/fusion/25-sel-16v-gasolina-4p-automatico/4-portas/2010/59129175
